"Id","Kind","Category","PlayerWorkflow","Operations","ControllerPath","TextEntry","HapticConfirmation","Implementation","Validation","Evidence"
"INTERFACE_SIEGEWARFARE","NewUI","Castle","Castle Siege HUD","View teams/state; issue guild command; select map position","D-pad command; A place/confirm; X alternate command; Y details; B close; pointer fallback","N/A","Command and event result server-confirmed","PointerFallback","PendingRuntime","NewUISeigeWarfare"
"INTERFACE_MAINFRAME","NewUI","HUD","Main HUD","Open core windows; select skill; use potion; inspect status; system menu","D-pad hotkeys; LB/RB skill; A context; X basic attack; RT skill; View map; Menu system menu; pointer fallback","N/A","Action-dependent immediate or server-confirmed feedback","NativeSemanticActions+PointerFallback","PendingRuntime","NewUIMainFrameWindow"
"INTERFACE_SKILL_LIST","NewUI","Combat","Skill list","Browse skill pages; assign/select hotkey; inspect; use","D-pad or left stick focus; A select/use; X assign; Y details; LB/RB page; B close; pointer fallback","N/A","Selection immediate; skill result server-confirmed","SemanticKeys+PointerFallback","PendingRuntime","NewUISkillList"
"INTERFACE_ITEM_ENDURANCE_INFO","NewUI","Inventory","Durability information","Inspect damaged items and endurance status","D-pad focus; Y details; B close; pointer fallback","N/A","Focus immediate","ReadOnlyReachable","PendingRuntime","NewUIItemEnduranceInfo"
"INTERFACE_BUFF_WINDOW","NewUI","Combat","Buff list","Inspect active buffs, remaining duration and source","D-pad focus; Y details; B close; pointer fallback","N/A","Focus immediate","ReadOnlyReachable","PendingRuntime","NewUIBuffWindow"
"INTERFACE_MASTER_LEVEL","NewUI","Character","Master skill tree","Browse tree; inspect nodes; allocate points; confirm","D-pad or left stick focus; A allocate/select; X alternate; Y details; LB/RB page; B close; pointer fallback","Numeric keyboard for bulk points where available","Allocation result server-confirmed","PointerFallback+ControllerKeyboard","PendingRuntime","NewUIMasterLevel"
"INTERFACE_GOLD_BOWMAN","NewUI","Event","Gold Bowman event","Submit item; request reward; confirm; close","D-pad or left stick focus; A submit/confirm; Y details; B close; pointer fallback","N/A","Reward result server-confirmed","PointerFallback","PendingRuntime","NewUIGoldBowmanWindow"
"INTERFACE_GOLD_BOWMAN_LENA","NewUI","Event","Lena event","Submit item; request reward; confirm; close","D-pad or left stick focus; A submit/confirm; Y details; B close; pointer fallback","N/A","Reward result server-confirmed","PointerFallback","PendingRuntime","NewUIGoldBowmanLena"
"INTERFACE_LUCKYCOIN_REGISTRATION","NewUI","Event","Lucky Coin registration","Register coins; choose count; confirm; cancel","D-pad or left stick focus; A confirm; X amount; B cancel; pointer fallback","Numeric controller keyboard for count","Registration result server-confirmed","PointerFallback+ControllerKeyboard","PendingRuntime","NewUIRegistrationLuckyCoin"
"INTERFACE_EXCHANGE_LUCKYCOIN","NewUI","Event","Lucky Coin exchange","Browse rewards; choose count; exchange; cancel","D-pad or left stick focus; A exchange; X amount; Y details; B cancel; pointer fallback","Numeric controller keyboard for count","Exchange result server-confirmed","PointerFallback+ControllerKeyboard","PendingRuntime","NewUIExchangeLuckyCoin"
"INTERFACE_DUELWATCH","NewUI","Combat","Duel spectator","Join or leave channel; choose duel; spectate; close","D-pad or left stick focus; A join/watch; X leave; Y details; B close; pointer fallback","N/A","Channel result server-confirmed","PointerFallback","PendingRuntime","NewUIDuelWatchWindow"
"INTERFACE_DUELWATCH_MAINFRAME","NewUI","Combat","Duel spectator HUD","View duel status; leave spectator mode","A primary spectator action; B leave/close; pointer fallback","N/A","Leave/result server-confirmed","PointerFallback","PendingRuntime","NewUIDuelWatchMainFrameWindow"
"INTERFACE_DUELWATCH_USERLIST","NewUI","Combat","Duel spectator list","Browse participants; choose target; close","D-pad or left stick focus; A select; Y details; B close; pointer fallback","N/A","Selection immediate","PointerFallback","PendingRuntime","NewUIDuelWatchUserListWindow"
"INTERFACE_INGAMESHOP","NewUI","CashShop","Cash shop","Browse categories/items/storage; buy; gift to own character; claim; delete; exchange earned Zen for local credit; page; close","D-pad or left stick focus; A buy/use; X gift/delete; Y details; LB/RB page; B close; right-stick pointer and A for recharge/exchange","Controller keyboard for recipient and gift text","Purchase, gift, claim, delete and local credit exchange results server-confirmed; physical motor feedback unverified","ControllerKeyboard+PointerFallback","PendingRuntime","GameShop/NewUIInGameShop; Network/Server/SoloCashShopPackets; WSclient cash shop results"
"INTERFACE_DOPPELGANGER_NPC","NewUI","Event","Doppelganger entry","Choose ticket; inspect requirements; enter; cancel","D-pad or left stick focus; A enter; Y details; B cancel; pointer fallback","N/A","Entry result server-confirmed","PointerFallback","PendingRuntime","NewUIDoppelGangerWindow"
"INTERFACE_DOPPELGANGER_FRAME","NewUI","Event","Doppelganger HUD","View timer, progress and monsters","No action required; B closes optional detail; pointer fallback","N/A","Major event result server-confirmed","ReadOnlyReachable","PendingRuntime","NewUIDoppelGangerFrame"
"INTERFACE_QUEST_PROGRESS","NewUI","Quest","Current quest dialogue","Read stages; accept/proceed/complete/cancel; choose response","D-pad or left stick focus; A proceed; X cancel; Y details; B close; pointer fallback","N/A","Quest result server-confirmed","PointerFallback","PendingRuntime","NewUIQuestProgress"
"INTERFACE_QUEST_PROGRESS_ETC","NewUI","Quest","Quest progress alternate","Read stages; choose response; proceed; cancel","D-pad or left stick focus; A proceed; X cancel; Y details; B close; pointer fallback","N/A","Quest result server-confirmed","PointerFallback","PendingRuntime","NewUIQuestProgressByEtc"
"INTERFACE_EMPIREGUARDIAN_NPC","NewUI","Event","Empire Guardian entry","Choose ticket; inspect requirements; enter; cancel","D-pad or left stick focus; A enter; Y details; B cancel; pointer fallback","N/A","Entry result server-confirmed","PointerFallback","PendingRuntime","NewUIEmpireGuardianNPC"
"INTERFACE_EMPIREGUARDIAN_TIMER","NewUI","Event","Empire Guardian HUD","View timer, stages and progress","No action required; B closes optional detail; pointer fallback","N/A","Major event result server-confirmed","ReadOnlyReachable","PendingRuntime","NewUIEmpireGuardianTimer"
"INTERFACE_MINI_MAP","NewUI","Navigation","Mini-map","Open/close; pan; select marker; issue siege command where allowed","View toggle; D-pad or left stick pan/focus; A marker; Y details; B close; pointer fallback","N/A","Selection immediate; command result server-confirmed","SemanticKeys+PointerFallback","PendingRuntime","NewUIMiniMap"
"INTERFACE_NPC_DIALOGUE","NewUI","NPC","NPC dialogue","Read text; choose response; accept service or quest; cancel","D-pad or left stick focus; A choose; X secondary; Y details; B close; pointer fallback","Controller keyboard only when response requests text/amount","Business result server-confirmed","PointerFallback+ControllerKeyboard","PendingRuntime","NewUINPCDialogue"
"INTERFACE_GENSRANKING","NewUI","Social","Gens faction and ranking","Browse rank; join/leave faction; claim reward; close","D-pad or left stick focus; A confirm; X leave; Y details; LB/RB page; B close; pointer fallback","N/A","Join, leave and reward result server-confirmed","PointerFallback","PendingRuntime","NewUIGensRanking"
"INTERFACE_UNITEDMARKETPLACE_NPC_JULIA","NewUI","Navigation","United Market Place entry","Inspect destination; enter; cancel","D-pad or left stick focus; A enter; Y details; B cancel; pointer fallback","N/A","Entry result server-confirmed","PointerFallback","PendingRuntime","NewUIUnitedMarketPlaceWindow"
"INTERFACE_LUCKYITEMWND","NewUI","Inventory","Lucky item window","Browse items; inspect timer/options; use or transform where offered; close","D-pad or left stick focus; A select/use; X secondary; Y details; B close; pointer fallback","N/A","Item result server-confirmed","PointerFallback","PendingRuntime","NewUILuckyItemWnd"
"INTERFACE_HOTKEY","NewUI","Combat","Hotkey bar","Select slot; assign skill/item; use; inspect","D-pad direct-use; LB/RB skill page; A select; X assign; Y details; pointer fallback","N/A","Use result server-confirmed","SemanticKeys+PointerFallback","PendingRuntime","NewUIHotKey"
"INTERFACE_ITEM_TOOLTIP","NewUI","Inventory","Common item tooltip","Inspect item properties and comparison; close","Y details; D-pad scroll where applicable; B close","N/A","Focus immediate","ReadOnlyReachable","PendingRuntime","NewUIItemMng tooltip camera range"
"INTERFACE_MUHELPER","NewUI","Automation","MU Helper settings","Start/stop; browse tabs; configure combat, pickup and potion behavior; save/cancel","D-pad or left stick focus; A toggle/select; left/right adjust; X reset/secondary; LB/RB tabs; B close; pointer fallback","Controller keyboard for numeric thresholds where offered","Setting immediate; save/status result server-confirmed","SemanticKeys+ControllerKeyboard+PointerFallback","PendingRuntime","NewUIMuHelper"
"INTERFACE_MUHELPER_EXT","NewUI","Automation","MU Helper extended settings","Configure advanced skill, buff, party, range and pickup rules; save/cancel","D-pad or left stick focus; A toggle/select; left/right adjust; X reset; LB/RB tabs; B close; pointer fallback","Controller keyboard for numeric thresholds where offered","Setting immediate; save result server-confirmed","SemanticKeys+ControllerKeyboard+PointerFallback","PendingRuntime","NewUIMuHelperExt"
"INTERFACE_MUHELPER_SKILL_LIST","NewUI","Automation","MU Helper skill picker","Browse skills; assign to helper slot; inspect; close","D-pad or left stick focus; A assign; Y details; LB/RB page; B close; pointer fallback","N/A","Selection immediate","SemanticKeys+PointerFallback","PendingRuntime","NewUIMuHelperSkillList"
"INTERFACE_SYSTEMLOGWINDOW","NewUI","HUD","System log","Read and scroll system messages","D-pad scroll; B closes optional expanded view; pointer fallback","N/A","No action haptic","ReadOnlyReachable","PendingRuntime","NewUISystemLogWindow"
"INTERFACE_COMMAND_LIST","NewUI","Social","Chat command list","Browse commands; insert command; close","D-pad or left stick focus; A insert; Y details; B close; pointer fallback","Controller keyboard continues command parameters","Focus/insert immediate","ControllerKeyboard+PointerFallback","PendingRuntime","NewUIChatCommandWindow"
